player_id,playing_season,playing_position,player_age,team_name,no_of_games_played,no_minutes_played,field_goals_made,field_goals_pctg,three_pointers_made,three_point_pctg,effective_field_goal_pctg,free_thows_made,free_throws_pctg,total_rebounds,no_of_assists,no_of_steals,no_of_blocks,no_of_turnovers,points
abrinal01,2016-2017,SG,23,OKC,68,15.5,2,0.393,1.4,0.381,0.531,0.6,0.898,1.3,0.6,0.5,0.1,0.5,6
acyqu01,2016-2017,PF,26,TOT,38,14.7,1.8,0.412,1,0.411,0.521,1.2,0.75,3,0.5,0.4,0.4,0.6,5.8
adamsst01,2016-2017,C,23,OKC,80,29.9,4.7,0.571,0,0,0.571,2,0.611,7.7,1.1,1.1,1,1.8,11.3
afflaar01,2016-2017,SG,31,SAC,61,25.9,3,0.44,1,0.411,0.514,1.4,0.892,2,1.3,0.3,0.1,0.7,8.4
ajincal01,2016-2017,C,28,NOP,39,15,2.3,0.5,0,0,0.5,0.7,0.725,4.5,0.3,0.5,0.6,0.8,5.3
aldrico01,2016-2017,C,28,MIN,62,8.6,0.7,0.523,0,,0.523,0.2,0.682,2.5,0.4,0.4,0.4,0.3,1.7
aldrila01,2016-2017,PF,31,SAS,72,32.4,6.9,0.477,0.3,0.411,0.488,3.1,0.812,7.3,1.9,0.6,1.2,1.4,17.3
allenla01,2016-2017,PF,27,IND,61,14.3,1.3,0.458,0,0,0.458,0.4,0.697,3.6,0.9,0.3,0.4,0.5,2.9
allento01,2016-2017,SG,35,MEM,71,27,3.9,0.461,0.2,0.278,0.473,1.1,0.615,5.5,1.4,1.6,0.4,1.4,9.1
aminual01,2016-2017,PF,26,POR,61,29.1,3,0.393,1.1,0.33,0.468,1.6,0.706,7.4,1.6,1,0.7,1.5,8.7
anderch01,2016-2017,C,38,CLE,12,9.5,0.8,0.409,0,0,0.409,0.8,0.714,2.6,0.4,0.4,0.6,0.4,2.3
anderal01,2016-2017,SF,34,LAC,30,10.3,1,0.375,0.5,0.318,0.463,0.4,0.75,0.8,0.4,0.1,0,0.2,2.9
anderju01,2016-2017,SF,23,TOT,75,16.4,2.5,0.424,0.8,0.299,0.49,1.4,0.791,3.3,0.9,0.5,0.3,0.9,7.1
anderky01,2016-2017,SF,23,SAS,72,14.2,1.3,0.445,0.2,0.375,0.481,0.6,0.789,2.9,1.3,0.7,0.4,0.5,3.4
anderry01,2016-2017,PF,28,HOU,72,29.4,4.5,0.418,2.8,0.403,0.55,1.8,0.86,4.6,0.9,0.4,0.2,0.8,13.6
antetgi01,2016-2017,SF,22,MIL,80,35.6,8.2,0.521,0.6,0.272,0.541,5.9,0.77,8.8,5.4,1.6,1.9,2.9,22.9
anthoca01,2016-2017,SF,32,NYK,74,34.3,8.1,0.433,2,0.359,0.488,4.1,0.833,5.9,2.9,0.8,0.5,2.1,22.4
anthojo01,2016-2017,C,34,SAS,19,6.4,0.5,0.625,0,,0.625,0.3,0.625,1.6,0.2,0.1,0.3,0.2,1.3
arizatr01,2016-2017,SF,31,HOU,80,34.7,4.1,0.409,2.4,0.344,0.528,1.2,0.738,5.7,2.2,1.8,0.3,0.9,11.7
arthuda01,2016-2017,PF,28,DEN,41,15.6,2.3,0.442,1.3,0.453,0.565,0.5,0.864,2.7,1,0.5,0.5,0.9,6.4
